Case #,CWE,CVE,Outcome,Compiled,Vulnerable Hits,Patched Hits,Actual Vulnerability Mechanism,Query Security Property,Concrete Mismatch,New Root Cause Category,Category Rationale,Confidence,Same-CWE Generic Template Candidate,Same-CWE Template Pattern,Template Collapse Evidence,Semantic Alignment Status,Evidence Status
1,CWE-116,CVE-2019-10362,DISCRIMINATION_FAILURE,True,13,13,"Jenkins Configuration as Code exported configuration values without escaping them, so specially formed values could be interpreted as variable interpolation when the configuration was imported, allowing disclosure of environment-variable values.","Untrusted data from servlet request inputs, environment variables, or system properties must not flow to generic writer/output operations or filesystem-path construction/write operations without appropriate escaping, encoding, or canonicalization.",The generated query treats CWE-116 as generic taint from servlet/environment/system inputs to writers or filesystem paths. The actual mechanism depends on configuration serialization followed by variable interpolation during import; that application-specific serialization/interpolation path is not represented.,Incomplete vulnerability mechanism,"The general concept of missing escaping is related, but the query omits the configuration-export/import and interpolation mechanism that makes the vulnerability exploitable.",HIGH,YES,untrusted input -> generic output/filesystem,"Actual mechanism is configuration serialization plus variable interpolation, while the single CWE-level query reduces it to generic untrusted-data-to-output/filesystem flow.",,
2,CWE-116,CVE-2020-13654,DISCRIMINATION_FAILURE,True,270,44,XWiki's property displayer mishandled escaping when rendering property values. The vulnerability therefore depends on XWiki-specific property-display/rendering semantics.,"Untrusted data from servlet request inputs, environment variables, or system properties must not flow to generic writer/output operations or filesystem-path construction/write operations without appropriate escaping, encoding, or canonicalization.",The query models only servlet/environment/system inputs reaching generic writers or filesystem operations. It does not model the XWiki property-displayer object or the framework-specific rendering path in which escaping is required.,Incomplete vulnerability mechanism,The query is directionally about escaping but omits the application-specific intermediate object and rendering mechanism described by the advisory.,MEDIUM_HIGH,YES,untrusted input -> generic output/filesystem,The XWiki-specific property-display mechanism is collapsed into the generic CWE-116 taint template.,,
3,CWE-116,CVE-2021-21684,DETECTION_FAILURE,True,0,0,"A crafted Git SHA-1 checksum supplied through Jenkins commit notifications could later be displayed in a build cause without proper escaping, producing stored XSS. The fix rejects SHA-1 values with an invalid format and sanitizes existing values when displayed.","Untrusted data from servlet request inputs, environment variables, or system properties must not flow to generic writer/output operations or filesystem-path construction/write operations without appropriate escaping, encoding, or canonicalization.",The generic query does not represent the full commit-notification -> stored build-cause -> UI display path and therefore produced no vulnerable hit. It also has no explicit model of the SHA-1 format validation or display sanitization introduced by the fix.,Incomplete vulnerability mechanism,"The immediate failure is that the application-specific source, stored intermediate object, and display path are absent from the query abstraction; this is stronger evidence than merely a missing sanitizer model because the vulnerable version itself was not detected.",HIGH,YES,untrusted input -> generic output/filesystem,A multi-stage stored-XSS mechanism is reduced to a generic direct taint-to-output template.,,
4,CWE-116,CVE-2022-23620,DISCRIMINATION_FAILURE,True,300,300,"XWiki serialized an SSX document reference directly into a filesystem location without escaping filesystem syntax such as '../', allowing the reference to influence where export content was written.","Untrusted data from servlet request inputs, environment variables, or system properties must not flow to generic writer/output operations or filesystem-path construction/write operations without appropriate escaping, encoding, or canonicalization.","The query broadly models untrusted data reaching filesystem paths, which is close to the vulnerable behavior, but it does not distinguish the patched behavior because it lacks the specific escaping/canonicalization semantics applied to the document reference. This is consistent with hits remaining in both vulnerable and patched versions.",Missing validation semantics,"The vulnerable behavior is represented at a high level, but the security transformation that should separate vulnerable from fixed code is not semantically modeled.",HIGH,YES,untrusted input -> generic output/filesystem,The query keeps only the generic filesystem-flow shape and drops the document-reference escaping semantics.,,
5,CWE-116,CVE-2022-29599,DISCRIMINATION_FAILURE,True,18,18,"Apache Maven's Commandline class could emit double-quoted command-line strings without correctly escaping embedded content, allowing shell injection when the resulting command string was interpreted.","Untrusted data from servlet request inputs, environment variables, or system properties must not flow to generic writer/output operations or filesystem-path construction/write operations without appropriate escaping, encoding, or canonicalization.","The generated query looks for flows into generic writers or filesystem-path operations and has no shell-command or command-line serialization sink. The actual security boundary is shell quoting/escaping, not generic output or filesystem handling.",Incomplete vulnerability mechanism,"The vulnerability is still an escaping problem, but the query omits the relevant shell-command sink and quoting semantics, so the concrete mechanism is only partially represented.",HIGH,YES,untrusted input -> generic output/filesystem,Shell-command quoting is collapsed into the same generic output/filesystem CWE-116 template.,,
6,CWE-116,CVE-2022-45143,DISCRIMINATION_FAILURE,True,1511,1511,"Tomcat's JsonErrorReportValve inserted type, message, or description values into JSON output without escaping them; some values could contain user-controlled data and manipulate or invalidate the JSON.","Untrusted data from servlet request inputs, environment variables, or system properties must not flow to generic writer/output operations or filesystem-path construction/write operations without appropriate escaping, encoding, or canonicalization.","The generated query can represent user-controlled data reaching output operations, but it does not model JSON-specific escaping as the security transformation that distinguishes the patched implementation. The identical 1511/1511 hit counts are consistent with this missing semantic distinction.",Missing validation semantics,"The broad vulnerable behavior is captured, but the JSON escaping/sanitization semantics needed to recognize the fix are absent.",HIGH,YES,untrusted input -> generic output/filesystem,"JSON-specific escaping is flattened into generic taint-to-output, preventing discrimination of the fix.",,
7,CWE-116,CVE-2023-26472,DISCRIMINATION_FAILURE,True,36,272,"XWiki allowed crafted icon-theme content to execute wiki/Groovy content with the rights of IconThemeSheet's author. The security issue depends on execution context and privilege propagation, not merely on unescaped data reaching a writer or filesystem path.","Untrusted data from servlet request inputs, environment variables, or system properties must not flow to generic writer/output operations or filesystem-path construction/write operations without appropriate escaping, encoding, or canonicalization.","The generated query searches for generic untrusted-data-to-output/filesystem flows, whereas the actual security property concerns execution of attacker-controlled wiki content under another author's privileges. The query therefore models a substantially different mechanism.",Wrong vulnerability mechanism,"The final CWE-116 abstraction targets output/filesystem escaping, while the advisory describes a privileged execution-context problem.",HIGH,YES,untrusted input -> generic output/filesystem,"A privilege/execution-context vulnerability is forced into the same generic CWE-116 escaping template, providing strong evidence of semantic template collapse for this case.",,
8,CWE-284,CVE-2013-4316,DETECTION_FAILURE,True,0,0,"Apache Struts enabled Dynamic Method Invocation by default, exposing additional method-dispatch behavior beyond the intended action surface. The security issue is tied to framework-level method invocation configuration rather than absence of a normal web-endpoint authorization annotation.",A public web-exposed endpoint that invokes a name-matched sensitive operation should contain an explicit security annotation or an authorization-check call.,"The generated query looks for sensitive calls inside public web endpoints without explicit authorization. The actual issue is unsafe framework dispatch configuration that enables Dynamic Method Invocation, so the query searches for a different security property.",Wrong vulnerability mechanism,"The query models endpoint authorization, while the advisory describes unsafe framework method-dispatch exposure.",HIGH,YES,"web endpoint -> sensitive operation, with no explicit authorization evidence",Dynamic Method Invocation configuration is collapsed into the generic missing-authorization web-endpoint template.,,
9,CWE-284,CVE-2014-3120,DETECTION_FAILURE,True,0,0,"Elasticsearch enabled dynamic scripting by default, allowing remote input supplied through the _search source parameter to execute MVEL expressions and Java code.",A public web-exposed endpoint that invokes a name-matched sensitive operation should contain an explicit security annotation or an authorization-check call.,"The final query searches for missing authorization around name-matched sensitive calls in web endpoints. The actual mechanism is attacker-controlled script execution enabled by unsafe default scripting configuration, not missing endpoint authorization.",Wrong vulnerability mechanism,The generated security property is unrelated to the dynamic-script execution mechanism.,HIGH,YES,"web endpoint -> sensitive operation, with no explicit authorization evidence",Dynamic scripting/RCE is reduced to the same generic endpoint-to-sensitive-operation authorization template.,,
10,CWE-284,CVE-2015-5325,DETECTION_FAILURE,True,0,0,Jenkins allowed a JNLP slave to bypass intended slave-to-master access restrictions. The vulnerability depends on the trust boundary and permissions associated with the remoting channel.,A public web-exposed endpoint that invokes a name-matched sensitive operation should contain an explicit security annotation or an authorization-check call.,"The query assumes a public web endpoint and a local explicit authorization check. It does not model the slave/master remoting relationship, channel trust boundary, or restrictions that should govern operations crossing that boundary.",Missing relational/contextual semantics,"The security property depends on which side of the slave/master trust boundary performs an operation, a context absent from the generic endpoint template.",HIGH,YES,"web endpoint -> sensitive operation, with no explicit authorization evidence",A remoting-channel trust relationship is flattened into generic web-endpoint authorization.,,
